combo,run_label,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,split_n,rank_metric,rank_by_final_return
short_max_v12_L5_SPLIT300,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,12.51475307106178,12.56540325533997,2.8691427315348648,109.33574116961647,25,62,0,0,True,False,5.0,0.0033333333333333335,0.016666666666666666,0.0004,300,12.51475307106178,98
short_max_v12_L2_SPLIT125,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,11.99014188314731,12.038538704267676,2.7559272756522972,108.9508380568745,25,62,0,0,True,False,2.0,0.008,0.016,0.0004,125,11.99014188314731,99
short_max_v12_L3_SPLIT200,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,11.207072653022543,11.2521265231051,2.5858638552964663,108.37529799509544,25,62,0,0,True,False,3.0,0.005,0.015,0.0004,200,11.207072653022543,100
short_max_v12_L12_SPLIT800,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,11.207072653022543,11.2521265231051,2.5858638552964663,108.37529799509544,25,62,0,0,True,False,12.0,0.00125,0.015,0.0004,800,11.207072653022543,101
short_max_v12_L15_SPLIT1000,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,11.207072653022543,11.2521265231051,2.5858638552964663,108.37529799509544,25,62,0,0,True,False,15.0,0.001,0.015,0.0004,1000,11.207072653022543,102
short_max_v12_L10_SPLIT700,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,10.650553106400928,10.693246219455865,2.464213252493053,107.96552857650127,25,62,0,0,True,False,10.0,0.0014285714285714286,0.014285714285714285,0.0004,700,10.650553106400928,103
short_max_v12_L7_SPLIT500,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,10.428600084853823,10.470355173734402,2.4155117288231622,107.80193078764025,25,62,0,0,True,False,7.0,0.002,0.014,0.0004,500,10.428600084853823,104
short_max_v12_L1_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,9.912160779270373,9.951741030192629,2.3017830173082245,107.42089052792494,25,62,0,0,True,False,1.0,0.013333333333333334,0.013333333333333334,0.0004,75,9.912160779270373,105
short_max_v12_L2_SPLIT150,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,9.912160779270373,9.951741030192629,2.3017830173082245,107.42089052792494,25,62,0,0,True,False,2.0,0.006666666666666667,0.013333333333333334,0.0004,150,9.912160779270373,106
short_max_v12_L5_SPLIT400,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,9.269459985319761,9.30634888350701,2.1594411742099453,106.94594257969099,25,62,0,0,True,False,5.0,0.0025,0.0125,0.0004,400,9.269459985319761,107
