symbol,file,bars,kept_event_horizon_rows,first_ts,last_ts
COMBO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMBO_5m.csv,273184,85232,2023-06-02 21:00:00,2026-01-12 09:25:00
COMMON,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMMON_5m.csv,15649,6524,2025-11-18 22:35:00,2026-01-12 06:35:00
COMP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMP_5m.csv,582292,260904,2020-06-30 18:00:00,2026-01-12 14:15:00
COOKIE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COOKIE_5m.csv,104657,41016,2025-01-07 20:30:00,2026-01-12 07:20:00
COS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COS_5m.csv,133160,56796,2024-09-30 22:00:00,2026-01-12 07:40:00
COTI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COTI_5m.csv,509428,215920,2021-03-10 16:00:00,2026-01-12 12:15:00
COW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COW_5m.csv,122497,52180,2024-11-06 22:30:00,2026-01-12 07:35:00
CROSS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CROSS_5m.csv,51668,24868,2025-07-10 19:30:00,2026-01-12 06:50:00
CRV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CRV_5m.csv,564165,180844,2020-09-01 16:00:00,2026-01-12 13:40:00
CTK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTK_5m.csv,72122,28960,2025-04-30 19:15:00,2026-01-12 07:00:00
CTSI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTSI_5m.csv,443216,173892,2021-10-26 12:30:00,2026-01-12 11:05:00
CUDIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CUDIS_5m.csv,39850,17752,2025-08-20 20:15:00,2026-01-12 06:45:00
CVC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVC_5m.csv,67533,29028,2025-05-16 17:30:00,2026-01-12 06:55:00
CVX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVX_5m.csv,47912,19548,2025-07-23 20:30:00,2026-01-12 06:50:00
