batch_label,strategy_name,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,ruined,verdict
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V089_hammer_outside_microguard,long,l09 v09 cluster pressure + hammer_outside + microguard,5m,597,1248,396,852,31.73076923076923,-1.840184689316282,1.654585992963864,3.6532543765810166,94.57378756180232,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V081_hammer_outside_base,long,l09 v09 cluster pressure + hammer_outside + base,5m,597,1249,396,853,31.705364291433145,-1.8589334809312352,1.6351696906464541,3.6532543765810055,94.55572371123762,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V082_hammer_outside_rare22_c1,long,l09 v09 cluster pressure + hammer_outside + rare22_c1,5m,597,1249,393,856,31.46517213771017,-1.9173821517986633,1.6451336070921974,3.6826249676655487,94.47060287438349,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V037_shocklow_refire40,long,l09 v28 refire block + shocklow + refire40,5m,597,1429,434,995,30.370888733379985,-2.697417010900771,0.572908628211044,3.48576110153177,93.91084740047954,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V033_shocklow_rare28_first,long,l09 v27 failed break pivot + shocklow + rare28_first,5m,597,1651,503,1148,30.466384009691094,-2.663571331930581,0.7813589544376498,3.658090604235076,93.7757739164648,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V023_lowanchor_rare28_first,long,l09 v28 refire block + lowanchor + rare28_first,5m,597,1713,558,1155,32.57443082311734,-2.5780754162847974,1.065409611610968,3.8315507791067294,93.6891540733071,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V063_spring_rare28_first,long,l09 v28 refire block + spring + rare28_first,5m,597,1501,441,1060,29.38041305796136,-2.9716478590098627,0.5879577503410394,3.760337398231528,93.3797587285447,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V013_strict_rare28_first,long,l09 v27 failed break pivot + strict + rare28_first,5m,597,1711,519,1192,30.333138515488017,-2.9222656773538414,0.7550666589191124,3.894905297674678,93.29664850565086,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V013_strict_rare28_first,long,l09 v28 refire block + strict + rare28_first,5m,597,1713,540,1173,31.523642732049034,-3.074043509173585,0.5949469373564886,3.8725776256199884,93.17242358634451,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V023_lowanchor_rare28_first,long,l09 v27 failed break pivot + lowanchor + rare28_first,5m,597,1711,529,1182,30.917592051431914,-3.0418312872394937,0.7111539175144399,3.981139066031325,93.09812918042824,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V033_shocklow_rare28_first,long,l09 v28 refire block + shocklow + rare28_first,5m,597,1631,486,1145,29.79767014101778,-3.2829008433952755,0.3125865123526861,3.836383924464304,93.00665991235255,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V093_quality_hold_rare28_first,long,l09 v27 failed break pivot + quality_hold + rare28_first,5m,597,1702,488,1214,28.672150411280846,-3.244724884188599,0.5597192379546145,4.045735422099805,92.8408126777009,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V003_core_rare28_first,long,l09 v27 failed break pivot + core + rare28_first,5m,597,1711,502,1209,29.339567504383403,-3.344389970139705,0.39599014828821666,3.962823291294182,92.8253190032545,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V003_core_rare28_first,long,l09 v28 refire block + core + rare28_first,5m,597,1713,525,1188,30.64798598949212,-3.408954358098115,0.4053245384206372,4.018243103446051,92.70978261184973,121.53,False,baseline_fail
