symbol,file,accepted_nonoverlap_trades
INIT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\INIT_5m.csv,3939
INJ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\INJ_5m.csv,17899
IO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IO_5m.csv,7512
IOST,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IOST_5m.csv,53173
IOTA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IOTA_5m.csv,48611
IOTX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IOTX_5m.csv,34295
IP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IP_5m.csv,5247
IRYS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IRYS_5m.csv,978
JASMY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JASMY_5m.csv,23394
JCT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JCT_5m.csv,1074
JELLYJELLY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JELLYJELLY_5m.csv,4830
JOE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JOE_5m.csv,17049
JST,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JST_5m.csv,4605
JTO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JTO_5m.csv,10116
JUP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JUP_5m.csv,8907
KAIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KAIA_5m.csv,7179
KAITO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KAITO_5m.csv,4533
KAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KAS_5m.csv,17188
KAVA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KAVA_5m.csv,48225
